COUNTY_NAME,textbox5,MUNICIPALITY_NAME,CENSUS_POPULATION,LAND_AREA,FEDERAL_EIN_CODE,HOME_RULE_CODE,HOME_RULE_NAME,HOME_RULE_YEAR,GOVERNMENTAL_FORM,EMPLOYEES_FULL_TIME,EMPLOYEES_PART_TIME,INCORPORATION_YEAR
ADAMS,010033,ABBOTTSTOWN BORO,1022,0.60,236050408,,,,,1,10,1835
ADAMS,010001,ADAMS COUNTY,103852,522.20,236003030,,,,,463,47,
ADAMS,010063,ARENDTSVILLE BORO,867,0.80,231603459,,,,,3,2,1896
ADAMS,010093,BENDERSVILLE BORO,736,0.50,237447802,,,,,0,19,1866
ADAMS,010125,BERWICK TWP,2403,7.70,232030284,,,,,4,0,1800
ADAMS,010153,BIGLERVILLE BORO,1225,0.70,232083930,,,,,5,16,
ADAMS,010183,BONNEAUVILLE BORO,1758,1.00,231940549,,,,,5,2,
ADAMS,010215,BUTLER TWP,2550,24.00,236005678,,,,,2,3,1840
ADAMS,010193,CARROLL VALLEY BORO,3940,5.40,231941394,,,,,14,2,
ADAMS,010245,CONEWAGO TWP,7875,10.40,231857656,,,,,20,11,1801
ADAMS,010275,CUMBERLAND TWP,7033,33.40,231637182,,,,,25,1,1800
ADAMS,010303,EAST BERLIN BORO,1542,0.70,231638686,,,,,4,0,1879
ADAMS,010333,FAIRFIELD BORO,526,0.70,232037223,,,,,0,12,1896
ADAMS,010365,FRANKLIN TWP,4676,68.10,236000335,,,,,7,1,
ADAMS,010395,FREEDOM TWP,825,14.00,232173367,,,,,0,3,1838
ADAMS,010425,GERMANY TWP,2844,10.90,232132477,,,,,0,16,
ADAMS,010453,GETTYSBURG BORO,7106,1.70,236002866,,,,,31,15,1806
ADAMS,010485,HAMILTON TWP,2714,13.50,231897816,,,,,3,6,1810
ADAMS,010515,HAMILTONBAN TWP,2300,39.20,236005168,,,,,4,7,1800
ADAMS,010545,HIGHLAND TWP,997,12.10,236555813,,,,,0,6,1863
ADAMS,010575,HUNTINGTON TWP,2395,25.10,232123707,,,,,1,19,1800
ADAMS,010605,LATIMORE TWP,2646,21.10,236050992,,,,,0,9,1807
ADAMS,010635,LIBERTY TWP,1376,16.20,232110946,,,,,2,10,1800
ADAMS,010663,LITTLESTOWN BORO,4782,1.50,236002885,,,,,19,10,1864
ADAMS,010693,MCSHERRYSTOWN BORO,3077,0.50,236003087,,,,,15,3,1882
ADAMS,010725,MENALLEN TWP,3701,42.70,236000420,,,,,2,5,1749
ADAMS,010755,MT JOY TWP,3789,26.00,232053021,,,,,4,2,
ADAMS,010785,MT PLEASANT TWP,4666,30.40,236000434,,,,,5,16,
ADAMS,010813,NEW OXFORD BORO,1868,0.60,236002910,,,,,2,11,1874
ADAMS,010845,OXFORD TWP,5936,9.50,231944081,,,,,5,5,1847
ADAMS,010875,READING TWP,5799,26.30,236000477,,,,,6,2,
ADAMS,010905,STRABAN TWP,4851,34.30,236000515,,,,,6,11,1746
ADAMS,010935,TYRONE TWP,2268,21.50,236000531,,,,,0,6,1749
ADAMS,010965,UNION TWP,3076,17.50,231955032,,,,,0,13,1841
ADAMS,010993,YORK SPRINGS BORO,683,0.20,236267244,,,,,2,0,1868
ALLEGHENY,020034,ALEPPO TWP,1825,1.80,251349583,,,,,3,1,1876
ALLEGHENY,020001,ALLEGHENY COUNTY,1250578,744.70,256001017,Home Rule,ALLEGHENY COUNTY,2000,,6560,122,
ALLEGHENY,020063,ASPINWALL BORO,2916,0.40,256000269,,,,,15,5,1892
ALLEGHENY,020093,AVALON BORO,4762,0.60,256000270,,,,,12,12,1874
ALLEGHENY,020123,BALDWIN BORO,21510,5.80,256004117,,,,,44,11,
ALLEGHENY,020154,BALDWIN TWP,1985,0.50,256000140,,,,,11,0,1844
ALLEGHENY,020183,BELL ACRES BORO,1505,5.40,251155526,,,,,10,5,
ALLEGHENY,020213,BELLEVUE BORO,8311,1.00,256000277,Home Rule,BOROUGH OF BELLEVUE,1976,,34,10,1867
ALLEGHENY,020243,BEN AVON BORO,1918,0.40,256000278,,,,,3,1,1892
ALLEGHENY,020273,BEN AVON HEIGHTS BORO,400,0.20,256009079,,,,,0,4,1891
ALLEGHENY,020303,BETHEL PARK BORO,33577,11.70,256000214,Home Rule,MUNICIPALITY OF BETHEL PARK,1978,,104,106,
ALLEGHENY,020333,BLAWNOX BORO,1454,0.30,256000283,,,,,7,8,
ALLEGHENY,020363,BRACKENRIDGE BORO,3240,0.50,256000285,,,,,20,1,
ALLEGHENY,020393,BRADDOCK BORO,1721,0.60,256000286,Home Rule,,2021,Council/Manager,3,17,1867
ALLEGHENY,020423,BRADDOCK HILLS BORO,1730,1.00,251121288,,,,,6,10,
ALLEGHENY,020453,BRADFORD WOODS BORO,1183,0.90,251153628,Home Rule,BOROUGH OF BRADFORD WOODS,1978,,1,2,
ALLEGHENY,020483,BRENTWOOD BORO,10082,1.50,256000287,,,,,30,18,
ALLEGHENY,020513,BRIDGEVILLE BORO,4804,1.10,256000288,,,,,17,2,
ALLEGHENY,020543,CARNEGIE BORO,8134,1.60,256000300,,,,,28,13,1894
ALLEGHENY,020573,CASTLE SHANNON BORO,8249,1.60,256000302,,,,,28,25,
ALLEGHENY,020603,CHALFANT BORO,748,0.20,251155034,,,,,0,11,
ALLEGHENY,020633,CHESWICK BORO,1672,0.50,256000306,,,,,0,17,
ALLEGHENY,020663,CHURCHILL BORO,3157,2.20,256000307,,,,,12,0,
ALLEGHENY,020692,CLAIRTON CITY,6181,2.80,256000852,Home Rule,MUNICIPALITY OF CLAIRTON,1990,,24,4,
ALLEGHENY,020724,COLLIER TWP,8935,13.90,256000936,,,,,45,14,1875
ALLEGHENY,020753,CORAOPOLIS BORO,5559,1.30,256000319,,,,,20,20,1886
ALLEGHENY,020783,CRAFTON BORO,6099,1.10,256000320,,,,,73,21,1894
ALLEGHENY,020814,CRESCENT TWP,2488,2.10,256001065,,,,,16,3,1855
ALLEGHENY,020843,DORMONT BORO,8244,0.80,256000328,,,,,39,27,1909
ALLEGHENY,020873,DRAVOSBURG BORO,1612,1.00,256000329,,,,,3,12,
ALLEGHENY,020902,DUQUESNE CITY,5254,1.80,256000856,,,,,34,1,1910
ALLEGHENY,020934,EAST DEER TWP,1490,2.30,256001171,,,,,3,3,1836
ALLEGHENY,020963,EAST MCKEESPORT BORO,2076,0.40,256000335,,,,,14,6,1895
ALLEGHENY,020993,EAST PITTSBURGH BORO,1927,0.40,256000336,,,,,3,6,1895
ALLEGHENY,021023,EDGEWOOD BORO,3145,0.60,256000341,,,,,16,10,1888
ALLEGHENY,021053,EDGEWORTH BORO,1669,1.50,256000342,,,,,11,12,1904
ALLEGHENY,021083,ELIZABETH BORO,1398,0.30,256000346,,,,,4,14,1834
ALLEGHENY,021114,ELIZABETH TWP,12982,22.80,256001232,,,,,41,7,1788
ALLEGHENY,021143,EMSWORTH BORO,2525,0.60,256000351,,,,,0,16,1897
ALLEGHENY,021173,ETNA BORO,3437,0.70,256000352,,,,,16,6,1898
ALLEGHENY,021205,FAWN TWP,2210,13.00,256001317,,,,,4,7,1958
ALLEGHENY,021235,FINDLAY TWP,6372,32.30,256001334,,,,,52,4,1822
ALLEGHENY,021263,FOREST HILLS BORO,6429,1.60,256000362,,,,,34,4,1920
ALLEGHENY,021295,FORWARD TWP,3070,19.00,256009688,,,,,7,2,1869
ALLEGHENY,021323,FOX CHAPEL BORO,5343,7.90,256000363,,,,,27,2,
ALLEGHENY,021353,FRANKLIN PARK BORO,15479,13.50,256004050,,,,,46,32,
ALLEGHENY,021385,FRAZER TWP,1161,9.30,256001506,,,,,5,8,1920
