CODE,JURISDICTION
0,Arlington County
1,Accomack County
2,Albemarle County
3,Alleghany County
4,Amelia County
5,Amherst County
6,Appomattox County
7,Augusta County
8,Bath County
9,Bedford County
10,Bland County
11,Botetourt County
12,Brunswick County
13,Buchanan County
14,Buckingham County
15,Campbell County
16,Caroline County
17,Carroll County
18,Charles City County
19,Charlotte County
20,Chesterfield County
21,Clarke County
22,Craig County
23,Culpeper County
24,Cumberland County
25,Dickenson County
26,Dinwiddie County
28,Essex County
29,Fairfax County
30,Fauquier County
31,Floyd County
32,Fluvanna County
33,Franklin County
34,Frederick County
35,Giles County
36,Gloucester County
37,Goochland County
38,Grayson County
39,Greene County
40,Greensville County
41,Halifax County
42,Hanover County
43,Henrico County
44,Henry County
45,Highland County
46,Isle of Wight County
47,James City County
48,King George County
49,King & Queen County
50,King William County
51,Lancaster County
52,Lee County
53,Loudoun County
54,Louisa County
55,Lunenburg County
56,Madison County
57,Mathews County
58,Mecklenburg County
59,Middlesex County
60,Montgomery County
62,Nelson County
63,New Kent County
65,Northampton County
66,Northumberland County
67,Nottoway County
68,Orange County
69,Page County
70,Patrick County
71,Pittsylvania County
72,Powhatan County
73,Prince Edward County
74,Prince George County
76,Prince William County
77,Pulaski County
78,Rappahannock County
79,Rappahannock County
80,Roanoke County
81,Rockbridge County
82,Rockingham County
83,Russell County
84,Scott County
85,Shenandoah County
86,Smyth County
87,Southampton County
88,Spotsylvania County
89,Stafford County
90,Surry County
91,Sussex County
92,Tazewell County
93,Warren County
95,Washington County
96,Westmoreland County
97,Wise County
98,Wythe County
99,York County
100,City of Alexandria
101,Town of Big Stone Gap
102,City of Bristol
103,City of Buena Vista
104,City of Charlottesville
105,Town of Clifton Forge
106,City of Colonial Heights
107,City of Covington
108,City of Danville
109,City of Emporia
110,City of Falls Church
111,City of Fredericksburg
112,Town of Front Royal
113,City of Galax
114,City of Hampton
115,City of Harrisonburg
116,City of Hopewell
117,City of Lexington
118,City of Lynchburg
119,Town of Marion
120,City of Martinsville
121,City of Newport News
122,City of Norfolk
123,City of Petersburg
124,City of Portsmouth
125,Town of Pulaski
126,City of Radford
127,City of Richmond
128,City of Roanoke
129,City of Salem
130,Town of South Boston
131,City of Chesapeake
132,City of Staunton
133,City of Suffolk
134,City of Virginia Beach
136,City of Waynesboro
137,City of Williamsburg
138,City of Winchester
139,Town of Wytheville
140,Town of Abingdon
141,Town of Bedford
142,Town of Blackstone
143,Town of Bluefield
144,Town of Farmville
145,City of Franklin
146,City of Norton
147,City of Poquoson
148,Town of Richlands
149,Town of Vinton
150,Town of Blacksburg
151,City of Fairfax
152,City of Manassas Park
153,Town of Vienna
