,NAME,POPULATION,BIKE_TO_WORK_EST,BIKE_TO_WORK_MARG,WALK_TO_WORK_EST,WALK_TO_WORK_MARG,DRIVE_SOLO_TO_WORK_EST,DRIVE_SOLO_TO_WORK_MARG,CARPOOL_TO_WORK_EST,CARPOOL_TO_WORK_MARG,PUBTRANS_TO_WORK_EST,PUBTRANS_TO_WORK_MARG,state,county,county_subdivision,COUNTY_NAME,City,County,BICYCLE_BY_AUTO_COUNT,BICYCLE_DEATH_BY_AUTO_COUNT,BICYCLE_SUSP_SERIOUS_INJ_BY_AUTO_COUNT,PED_BY_AUTO_COUNT,PED_DEATH_BY_AUTO_COUNT,PED_SUSP_SERIOUS_INJ_BY_AUTO_COUNT
0,"Brighton CCD, Adams County",109934,41,56,440,209,43804,1622,5040,679,842,251,8,1,90399,Adams County,brighton,adams,0.0,0.0,0.0,0.0,0.0,0.0
1,"Commerce City CCD, Adams County",33395,17,30,149,80,10735,922,2272,591,338,221,8,1,90760,Adams County,commerce city,adams,4.0,2.0,2.0,3.0,2.0,1.0
2,"Alamosa CCD, Alamosa County",14657,13,26,269,109,5139,445,624,220,17,21,8,3,90076,Alamosa County,alamosa,alamosa,3.0,0.0,3.0,0.0,0.0,0.0
3,"Arboles CCD, Archuleta County",1752,0,13,18,17,499,146,35,23,5,8,8,7,90114,Archuleta County,arboles,archuleta,0.0,0.0,0.0,0.0,0.0,0.0
4,"Pagosa Springs CCD, Archuleta County",11515,11,13,146,95,3630,303,658,168,17,25,8,7,92812,Archuleta County,pagosa springs,archuleta,0.0,0.0,0.0,0.0,0.0,0.0
5,"Campo CCD, Baca County",354,0,13,0,13,127,46,11,7,0,13,8,9,90475,Baca County,campo,baca,0.0,0.0,0.0,0.0,0.0,0.0
6,"Springfield CCD, Baca County",1890,3,5,50,26,611,93,43,26,0,13,8,9,93477,Baca County,springfield,baca,0.0,0.0,0.0,0.0,0.0,0.0
7,"Walsh CCD, Baca County",1023,0,13,24,19,386,78,4,5,0,13,8,9,93762,Baca County,walsh,baca,0.0,0.0,0.0,0.0,0.0,0.0
8,"Las Animas CCD, Bent County",5136,0,18,3,6,919,265,115,57,59,66,8,11,92185,Bent County,las animas,bent,0.0,0.0,0.0,0.0,0.0,0.0
9,"McClave CCD, Bent County",633,0,13,3,5,297,98,15,17,0,13,8,11,92356,Bent County,mcclave,bent,0.0,0.0,0.0,0.0,0.0,0.0
10,"Boulder CCD, Boulder County",123266,5247,551,5255,630,32118,1248,2904,399,3995,551,8,13,90342,Boulder County,boulder,boulder,42.0,2.0,40.0,4.0,1.0,3.0
11,"Longmont CCD, Boulder County",112640,428,185,840,242,42117,1452,5111,559,1154,281,8,13,92318,Boulder County,longmont,boulder,43.0,5.0,38.0,12.0,1.0,11.0
12,"Broomfield CCD, Broomfield County",72697,304,139,482,160,27371,778,2730,473,1316,291,8,14,90408,Broomfield County,broomfield,broomfield,2.0,0.0,2.0,5.0,1.0,4.0
13,"Buena Vista CCD, Chaffee County",8656,0,18,54,72,2696,436,337,186,0,18,8,15,90437,Chaffee County,buena vista,chaffee,1.0,0.0,1.0,0.0,0.0,0.0
14,"Salida CCD, Chaffee County",10780,150,116,357,167,3278,391,387,171,52,61,8,15,93173,Chaffee County,salida,chaffee,0.0,0.0,0.0,0.0,0.0,0.0
15,"Cheyenne Wells CCD, Cheyenne County",1278,0,13,24,15,459,85,53,37,0,13,8,17,90646,Cheyenne County,cheyenne wells,cheyenne,0.0,0.0,0.0,0.0,0.0,0.0
16,"Kit Carson CCD, Cheyenne County",413,0,13,1,2,161,67,18,15,0,13,8,17,92014,Cheyenne County,kit carson,cheyenne,0.0,0.0,0.0,0.0,0.0,0.0
17,"Antonito CCD, Conejos County",1578,0,13,22,19,382,99,156,71,0,13,8,21,90095,Conejos County,antonito,conejos,0.0,0.0,0.0,0.0,0.0,0.0
18,"La Jara CCD, Conejos County",3798,0,13,46,26,953,147,211,59,0,13,8,21,92071,Conejos County,la jara,conejos,0.0,0.0,0.0,0.0,0.0,0.0
19,"Manassa CCD, Conejos County",1665,0,13,7,7,557,119,137,48,0,13,8,21,92375,Conejos County,manassa,conejos,0.0,0.0,0.0,0.0,0.0,0.0
20,"Blanca CCD, Costilla County",1837,0,13,20,20,394,100,109,52,0,13,8,23,90323,Costilla County,blanca,costilla,0.0,0.0,0.0,0.0,0.0,0.0
21,"San Luis CCD, Costilla County",1680,0,13,34,26,376,91,155,88,0,13,8,23,93192,Costilla County,san luis,costilla,0.0,0.0,0.0,0.0,0.0,0.0
22,"Ordway CCD, Crowley County",5249,31,44,26,17,988,263,158,108,6,10,8,25,92755,Crowley County,ordway,crowley,0.0,0.0,0.0,0.0,0.0,0.0
23,"Sugar City CCD, Crowley County",769,0,13,0,13,288,124,40,46,0,13,8,25,93553,Crowley County,sugar city,crowley,0.0,0.0,0.0,0.0,0.0,0.0
