,STATE,STATEFP,COUNTYFP,COUNTYNAME,COUSUBFP,COUSUBNS,COUSUBNAME,CLASSFP,FUNCSTAT,PENN_DOT_MUNI_ID,POPULATION,BIKE_TO_WORK_EST,BIKE_TO_WORK_MARG,WALK_TO_WORK_EST,WALK_TO_WORK_MARG,DRIVE_SOLO_TO_WORK_EST,DRIVE_SOLO_TO_WORK_MARG,CARPOOL_TO_WORK_EST,CARPOOL_TO_WORK_MARG,PUBTRANS_TO_WORK_EST,PUBTRANS_TO_WORK_MARG,AUTOMOBILE_COUNT,BICYCLE_BY_AUTO_COUNT,BICYCLE_DEATH_BY_AUTO_COUNT,BICYCLE_SUSP_SERIOUS_INJ_BY_AUTO_COUNT,PED_BY_AUTO_COUNT,PED_DEATH_BY_AUTO_COUNT,PED_SUSP_SERIOUS_INJ_BY_AUTO_COUNT,BICYCLE_SOLO_COUNT,BICYCLE_DEATH_SOLO_COUNT,BICYCLE_SUSP_SERIOUS_INJ_SOLO_COUNT,PED_SOLO_COUNT,PED_DEATH_SOLO_COUNT,PED_SUSP_SERIOUS_INJ_SOLO_COUNT,TOTAL_BICYCLE_BY_AUTO_COUNT,TOTAL_PED_BY_AUTO_COUNT,TOTAL_BICYCLE_SOLO_COUNT,TOTAL_PED_SOLO_COUNT
0,PA,42,101,PHILADELPHIA COUNTY,60000,01215531,PHILADELPHIA CITY,C5,F,67301,1596865,14172,940,54269,2031,343702,5207,55482,3121,152058,4179,4379.0,813.0,9.0,38.0,3562.0,102.0,256.0,706.0,11.0,30.0,3363.0,100.0,271.0,47.0,358.0,41.0,371.0
1,PA,42,003,ALLEGHENY COUNTY,61000,01214818,PITTSBURGH CITY,C5,F,2301,303207,1920,290,15005,1033,80593,2054,10191,814,23357,1252,805.0,111.0,1.0,5.0,709.0,7.0,96.0,80.0,2.0,9.0,451.0,19.0,50.0,6.0,103.0,11.0,69.0
2,PA,42,027,CENTRE COUNTY,73808,01215063,STATE COLLEGE BOROUGH,C5,F,14410,40352,729,297,3963,402,6711,800,484,166,1813,392,82.0,23.0,1.0,2.0,60.0,0.0,3.0,16.0,0.0,4.0,48.0,0.0,4.0,3.0,3.0,4.0,4.0
3,PA,42,049,ERIE COUNTY,24000,01215209,ERIE CITY,C5,F,25302,95536,329,191,2003,392,28933,1152,5476,668,1482,312,186.0,58.0,1.0,5.0,130.0,4.0,14.0,64.0,0.0,3.0,127.0,5.0,18.0,6.0,18.0,3.0,23.0
4,PA,42,027,CENTRE COUNTY,25624,01216123,FERGUSON TOWNSHIP,T1,A,14206,19236,259,116,335,142,6363,680,1169,336,591,211,12.0,5.0,0.0,2.0,5.0,0.0,0.0,4.0,1.0,0.0,3.0,0.0,1.0,2.0,0.0,1.0,1.0
5,PA,42,041,CUMBERLAND COUNTY,11272,01215147,CARLISLE BOROUGH,C5,F,21402,19869,235,104,1052,222,6598,481,547,183,42,37,52.0,19.0,0.0,5.0,33.0,0.0,7.0,14.0,0.0,2.0,32.0,1.0,3.0,5.0,7.0,2.0,4.0
6,PA,42,071,LANCASTER COUNTY,23840,01216629,EPHRATA TOWNSHIP,T1,A,36218,10375,225,148,192,152,3579,400,932,710,1,2,5.0,2.0,0.0,0.0,3.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0
7,PA,42,071,LANCASTER COUNTY,82824,01216650,WEST EARL TOWNSHIP,T1,A,36238,8478,210,145,0,16,2966,400,505,204,17,29,4.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0
8,PA,42,071,LANCASTER COUNTY,41216,01215339,LANCASTER CITY,C5,F,36301,58034,198,114,3107,512,18046,940,3726,509,1288,368,248.0,45.0,0.0,5.0,201.0,0.0,20.0,24.0,0.0,1.0,108.0,1.0,12.0,5.0,20.0,1.0,13.0
9,PA,42,071,LANCASTER COUNTY,20688,01216620,EARL TOWNSHIP,T1,A,36209,7133,178,129,84,66,1682,359,868,306,0,16,3.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0
10,PA,42,081,LYCOMING COUNTY,85312,01215428,WILLIAMSPORT CITY,C5,F,41301,27908,175,95,893,236,8530,571,1290,318,431,212,46.0,10.0,0.0,1.0,38.0,0.0,8.0,13.0,0.0,0.0,25.0,2.0,4.0,1.0,8.0,0.0,6.0
11,PA,42,119,UNION COUNTY,42976,01215632,LEWISBURG BOROUGH,C5,F,59402,5336,150,81,668,128,1021,231,102,100,0,16,4.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0
12,PA,42,043,DAUPHIN COUNTY,32800,01215162,HARRISBURG CITY,C5,F,22301,49969,146,94,2612,563,13271,810,2155,434,1149,297,169.0,28.0,1.0,3.0,133.0,6.0,24.0,12.0,1.0,3.0,67.0,5.0,11.0,4.0,30.0,4.0,16.0
13,PA,42,043,DAUPHIN COUNTY,75672,01216369,SWATARA TOWNSHIP,T1,A,22102,27318,140,145,91,92,11374,709,617,235,71,62,12.0,2.0,0.0,1.0,11.0,1.0,5.0,4.0,0.0,0.0,13.0,1.0,0.0,1.0,6.0,0.0,1.0
14,PA,42,095,NORTHAMPTON COUNTY,06088,01217330,BETHLEHEM CITY,C5,F,48301,55816,129,156,1194,239,17940,998,1810,342,566,211,102.0,15.0,0.0,1.0,84.0,0.0,7.0,29.0,0.0,1.0,72.0,3.0,10.0,1.0,7.0,1.0,13.0
15,PA,42,071,LANCASTER COUNTY,46896,01216634,MANHEIM TOWNSHIP,T1,A,36101,43249,128,116,259,106,17238,962,1786,441,292,114,23.0,12.0,0.0,1.0,11.0,1.0,1.0,16.0,0.0,2.0,17.0,0.0,4.0,1.0,2.0,2.0,4.0
16,PA,42,133,YORK COUNTY,87048,01215771,YORK CITY,C5,F,66301,44692,120,78,1156,336,13085,895,2108,409,862,265,149.0,24.0,1.0,1.0,124.0,3.0,14.0,12.0,0.0,1.0,69.0,0.0,6.0,2.0,17.0,1.0,6.0
17,PA,42,027,CENTRE COUNTY,58440,01216133,PATTON TOWNSHIP,T1,A,14216,15847,118,106,60,78,4998,580,838,352,780,336,6.0,4.0,0.0,2.0,2.0,0.0,2.0,3.0,0.0,0.0,4.0,0.0,1.0,2.0,2.0,0.0,1.0
18,PA,42,091,MONTGOMERY COUNTY,44976,01216860,LOWER MERION TOWNSHIP,T1,A,46104,63064,117,100,1501,251,17506,932,1497,257,2666,334,127.0,28.0,0.0,1.0,101.0,3.0,9.0,16.0,0.0,1.0,70.0,2.0,5.0,1.0,12.0,1.0,7.0
19,PA,42,045,DELAWARE COUNTY,33144,01216383,HAVERFORD TOWNSHIP,T1,A,23103,50111,116,127,721,145,16954,631,1548,235,1760,279,52.0,15.0,0.0,0.0,37.0,0.0,3.0,11.0,0.0,1.0,21.0,1.0,1.0,0.0,3.0,1.0,2.0
20,PA,42,133,YORK COUNTY,32448,01215748,HANOVER BOROUGH,C5,F,66413,16291,114,74,299,160,6346,521,725,211,0,18,24.0,10.0,0.0,0.0,15.0,1.0,1.0,9.0,0.0,1.0,18.0,3.0,1.0,0.0,2.0,1.0,4.0
21,PA,42,071,LANCASTER COUNTY,20984,01216621,EAST COCALICO TOWNSHIP,T1,A,36210,10820,106,89,82,78,4189,377,687,208,33,49,3.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,0.0,1.0,6.0,0.0,4.0,0.0,1.0,1.0,4.0
22,PA,42,011,BERKS COUNTY,63624,01214924,READING CITY,C5,F,6301,94161,102,77,2209,329,22154,1187,5660,671,2095,371,302.0,24.0,1.0,1.0,272.0,2.0,20.0,19.0,0.0,0.0,163.0,4.0,24.0,2.0,22.0,0.0,28.0
23,PA,42,071,LANCASTER COUNTY,10704,01216614,CAERNARVON TOWNSHIP,T1,A,36203,4631,99,106,48,43,1113,197,381,137,0,11,,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0
24,PA,42,071,LANCASTER COUNTY,21072,01216624,EAST EARL TOWNSHIP,T1,A,36213,6723,93,68,199,200,2376,337,387,180,15,24,6.0,4.0,0.0,1.0,2.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0
25,PA,42,071,LANCASTER COUNTY,42080,01216632,LEACOCK TOWNSHIP,T1,A,36221,5634,87,74,646,255,913,240,496,185,0,16,3.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0
26,PA,42,077,LEHIGH COUNTY,02000,01215372,ALLENTOWN CITY,C5,F,39301,125250,79,51,2396,607,36549,1464,8407,817,2039,396,405.0,61.0,0.0,5.0,330.0,4.0,35.0,42.0,0.0,0.0,211.0,1.0,23.0,5.0,39.0,0.0,24.0
27,PA,42,045,DELAWARE COUNTY,18160,01216381,DARBY TOWNSHIP,T1,A,23102,9188,78,96,164,135,3572,523,356,142,348,117,4.0,0.0,0.0,0.0,4.0,0.0,0.0,,,,,,,0.0,0.0,,
28,PA,42,017,BUCKS COUNTY,49120,01216022,MIDDLETOWN TOWNSHIP,T1,A,9213,45903,74,73,177,117,19174,996,1669,292,536,171,17.0,8.0,1.0,2.0,11.0,1.0,5.0,4.0,0.0,2.0,14.0,3.0,1.0,3.0,6.0,2.0,4.0
29,PA,42,029,CHESTER COUNTY,82704,01215079,WEST CHESTER BOROUGH,C5,F,15414,18592,72,60,1716,332,7218,536,471,157,114,52,41.0,7.0,0.0,1.0,34.0,0.0,5.0,3.0,0.0,0.0,17.0,0.0,2.0,1.0,5.0,0.0,2.0
30,PA,42,039,CRAWFORD COUNTY,48360,01215138,MEADVILLE CITY,C5,F,20301,12999,71,71,872,218,3333,421,410,167,39,41,13.0,0.0,0.0,0.0,13.0,0.0,1.0,2.0,0.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0
31,PA,42,011,BERKS COUNTY,48128,01215935,MAXATAWNY TOWNSHIP,T1,A,6224,7493,69,79,966,197,1905,299,192,102,5,9,4.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
32,PA,42,003,ALLEGHENY COUNTY,75816,01214828,SWISSVALE BOROUGH,C5,F,2463,8645,66,49,142,90,2508,267,435,266,926,207,16.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,1.0,0.0,1.0
33,PA,42,069,LACKAWANNA COUNTY,69000,01215328,SCRANTON CITY,C5,F,35302,75987,65,49,1814,286,23628,1071,4351,525,643,181,196.0,24.0,0.0,2.0,175.0,6.0,8.0,21.0,0.0,1.0,121.0,3.0,7.0,2.0,14.0,1.0,10.0
34,PA,42,017,BUCKS COUNTY,25112,01216017,FALLS TOWNSHIP,T1,A,9208,34644,65,49,118,86,14643,771,1231,355,351,135,21.0,4.0,1.0,1.0,17.0,3.0,1.0,7.0,1.0,0.0,16.0,0.0,0.0,2.0,4.0,1.0,0.0
35,PA,42,071,LANCASTER COUNTY,08352,01216613,BRECKNOCK TOWNSHIP,T1,A,36202,7555,64,66,191,119,2963,388,411,222,0,16,5.0,0.0,0.0,0.0,7.0,1.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0
36,PA,42,109,SNYDER COUNTY,78408,01217038,UNION TOWNSHIP,T1,A,54212,1400,63,32,21,12,440,75,49,24,0,11,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
37,PA,42,011,BERKS COUNTY,46680,01215933,MAIDENCREEK TOWNSHIP,T1,A,6222,9182,62,97,81,111,4528,410,477,388,0,16,3.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
38,PA,42,091,MONTGOMERY COUNTY,45008,01216861,LOWER MORELAND TOWNSHIP,T1,A,46105,13868,62,44,47,29,4805,332,388,129,287,103,8.0,3.0,0.0,0.0,5.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
39,PA,42,079,LUZERNE COUNTY,61056,01216727,PITTSTON TOWNSHIP,T1,A,40224,3195,58,89,28,31,1315,187,217,94,0,11,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0
40,PA,42,003,ALLEGHENY COUNTY,05312,01214767,BELLEVUE BOROUGH,C5,F,2404,8287,57,55,207,124,3462,374,381,138,403,131,9.0,0.0,0.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,2.0,0.0,1.0
